"NEXTIME","1Time Airline"
"HAGELAND","Hageland Aviation Services"
"HAINAN","Hainan Airlines"
"","Haiti Ambassador Airlines"
"HAMBURG JET","Hamburg International"
"YELLOW CAB","TUIfly"
"HAPAG LLOYD","Hapagfly"
"HAWAIIAN","Hawaiian Airlines"
"","Hawkair"
"HELIFRANCE","Heli France"
"HELIJET","Helijet"
"HELLAS JET","Hellas Jet"
"FLYHELLO","Hello"
"HELVETIC","Helvetic Airways"
"HEX AIRLINE","Hex'Air"
"HIWAY","Highland Airways"
"AIR DO","Hokkaido International Airlines"
"BAUHINIA","Hong Kong Airlines"
"HONGKONG SHUTTLE","Hong Kong Express Airways"
"HORIZON AIR","Horizon Air"
"","Horizon Airlines"
"IBERIA","Iberia Airlines"
"","Iberworld"
"IBEX","Ibex Airlines"
"TUZLA AIR","Icar Air"
"ICEAIR","Icelandair"
"IMPROTEX","Imair Airlines"
"IFLY","IndiGo Airlines"
"INDAIR","Indian Airlines"
"INDIGO BLUE","Indigo"
"WAGON AIR","Indonesia AirAsia"
"INDO LINES","Indonesian Airlines"
"INLINE","Interair South Africa"
"ASTAIR","Interavia Airlines"
"INTERLINK","Interlink Airlines"
"INTERSKY","Intersky"
"IRANAIR","Iran Air"
"","Iran Aseman Airlines"
"IRAQI","Iraqi Airways"
"","Island Airlines"
"","Cargo Plus Aviation"
"PINTADERA","Islas Airways"
"","Islena De Inversiones"
"ISRAIR","Israir"
"ITEK-AIR","Itek Air"
"JANEX","JAL Express"
"JALWAYS","JALways"
"JAPANAIR","Japan Airlines"
"J-BIRD","Japan Airlines Domestic"
"ASIA","Japan Asia Airways"
"JAI OCEAN","Japan Transocean Air"
"JAZEERA","Jazeera Airways"
"JEJU AIR","Jeju Air"
"JET AIRWAYS","Jet Airways"
"","Jet Airways"
"JETSTAR ASIA","Jetstar Asia Airways"
"CHANNEX","Jet2.com"
"ARGAN","Jet4You"
"JETBLUE","JetBlue Airways"
"BEAUTY","Jetairfly"
"JETFLITE","Jetflite"
"JETSTAR","Jetstar Airways"
"JUNEYAO AIRLINES","Juneyao Airlines"
"KALININGRAD AIR","KD Avia"
"CITY","KLM Cityhopper"
"KLM","KLM Royal Dutch Airlines"
"KAMGAR","Kam Air"
"AIR MINVODY","Kavminvodyavia"
"KENDELL","Kendell Airlines"
"KENMORE","Kenmore Air"
"KENYA","Kenya Airways"
"KINGFISHER","Kingfisher Airlines"
"KISHAIR","Kish Air"
"KOGALYM","Kogalymavia Air Company"
"KOREANAIR","Korean Air"
"KOSMOS","Kosmos"
"KRASNOJARSKY AIR","Krasnojarsky Airlines"
"AIR KUBAN","Kuban Airlines"
"KUWAITI","Kuwait Airways"
"KUZU CARGO","Kuzu Airlines Cargo"
"LACSA","LACSA"
"LAN","LAN Airlines"
"LAN AR","LAN Argentina"
"LANEX","LAN Express"
"LANPERU","LAN Peru"
"POLLOT","LOT Polish Airlines"
"FUN JET","LTE International Airways"
"BILLA TRANSPORT","LTU Austria"
"LAO","Lao Airlines"
"LATCHARTER","LatCharter"
"LAUDA AIR","Lauda Air"
"LIAT","Leeward Islands Air Transport"
"LIBAIR","Libyan Arab Airlines"
"MOZAMBIQUE","Linhas A"
"LION INTER","Lion Mentari Airlines"
"WALTER","Luftfahrtgesellschaft Walter"
"LUFTHANSA","Lufthansa"
"LUFTHANSA CARGO","Lufthansa Cargo"
"HANSALINE","Lufthansa CityLine"
"LUFT TRANSPORT","Lufttransport"
"LUXAIR","Luxair"
"LAPA","L"
"MAS CARGA","MasAir"
"MAKAVIO","MAT Macedonian Airlines"
"MONGOL AIR","MIAT Mongolian Airlines"
"BLACK SEA","MNG Airlines"
"","Macair Airlines"
"","Maersk"
"MAHAN AIR","Mahan Air"
"MALAYSIAN","Malaysia Airlines"
"SCANWING","Malmo Aviation"
"Scanwings","Malmö Aviation"
"MALTA CHARTER","Malta Air Charter"
"MALEV","Malév"
"MANDALA","Mandala Airlines"
"Mandarin","Mandarin Airlines"
"TULCA","Mango"
"MARTINAIR","Martinair"
"MAXAIR","Maxair"
"MYLAND","Maya Island Air"
"MERAIR","Meridiana"
"MERPATI","Merpati Nusantara Airlines"
"AIR SHUTTLE","Mesa Airlines"
"MESABA","Mesaba Airlines"
"MEXICANA","Mexicana de Aviaci"
"CEDAR JET","Middle East Airlines"
"MIDWAY","Midway Airlines"
"","Midwest Airlines"
"","Midwest Airlines (Egypt)"
"MOLDAVIAN","Moldavian Airlines"
"MONARCH","Monarch Airlines"
"","Myway Airlines"
"MONTAIR","Montenegro Airlines"
"MORNINGSTAR","Morningstar Air Express"
"GROMOV AIRLINE","Moskovia Airlines"
"MOTOR SICH","Motor Sich"
"KESTREL","MyTravel Airways"
"UNIONAIR","Myanma Airways"
"assignment postponed","Myanmar Airways International"
"MYFLUG","Myflug"
"NASAIRWAYS","Nasair"
"NATIONAL JET","National Jet Systems"
"NATIONWIDE","Nationwide Airlines"
"AIR NAURU","Nauru Air Corporation"
"ROYAL NEPAL","Nepal Airlines"
"EXECJET","NetJets"
"NEW ENGLAND","New England Airlines"
"NEXTJET","NextJet"
"FLYNIKI","Niki"
"NOK AIR","Nok Air"
"COUNTY","Norfolk County Flight College"
"NORTHAM","North American Airlines"
"HAMMER","North American Charters"
"","Northern Dene Airways"
"NORTHWEST","Northwest Airlines"
"POLARIS","Northwestern Air"
"NOR SHUTTLE","Norwegian Air Shuttle"
"SPRIT","Norwegian Aviation College"
"NOUVELAIR","Nouvel Air Tunisie"
"NAVIGATOR","Novair"
"NAS EXPRESS","Nas Air"
"OASIS","Oasis Hong Kong Airlines"
"BLUE OCEAN","Ocean Air"
"OCEANAIR","Oceanair"
"","Oceanic Airlines"
"OLYMPIC","Olympic Airlines"
"OMAN AIR","Oman Air"
"OMNI-EXPRESS","Omni Air International"
"THAI EXPRESS","One Two Go Airlines"
"ONUR AIR","Onur Air"
"ORENBURG","Orenburg Airlines"
"ORIENT THAI","Orient Thai Airlines"
"ORIGIN","Origin Pacific Airways"
"OLTRA","Ostfriesische Lufttransport"
"OVERLAND","Overland Airways"
"AUSJET","Ozjet Airlines"
"SKYJET","PAN Air"
"PEEBEE AIR","PB Air"
"PLUNA","PLUNA"
"MULTITRADE","PMTair"
"PACIFIC AIRLINES","Jetstar Pacific"
"PASCO","Pacific Coastal Airline"
"PAC-EAST CARGO","Pacific East Asia Cargo Airlines"
"PACIFIC ISLE","Pacific Island Aviation"
"TSUNAMI","Pacific Wings"
"PAKISTAN","Pakistan International Airlines"
"PARAWAY","Paramount Airways"
"PASSAREDO","Passaredo Transportes Aereos"
"SUNTURK","Pegasus Airlines"
"PENINSULA","Peninsula Airways"
"PHILIPPINE","Philippine Airlines"
"PIEDMONT","Piedmont Airlines (1948-1989)"
"FLAGSHIP","Pinnacle Airlines"
"POLET","Polet"
"POLYNESIAN","Polynesian Airlines"
"PORTER AIR","Porter Airlines"
"PORTUGALIA","Portugalia"
"DISTRICT","Potomac Air"
"PRECISION AIR","Precision Air"
"PRIVATAIR","Privatair"
"","Proflight Commuter Services"
"QANTAS","Qantas"
"QATARI","Qatar Airways"
"","RACSA"
"KINLOSS","Kinloss Flying Training Unit"
"","Regional Airlines"
"REX","Regional Express"
"BRICKYARD","Republic Airlines"
"PUBLIC EXPRESS","Republic Express Airlines"
"","Rossiya"
"","Air Rarotonga"
"ROYALAIR MAROC","Royal Air Maroc"
"BRUNEI","Royal Brunei Airlines"
"JORDANIAN","Royal Jordanian"
"ROYAL NEPAL","Royal Nepal Airlines"
"PHNOM-PENH AIR","Royal Phnom Penh Airways"
"RUSLINE AIR","Rusline"
