"Dutch Antilles Express","DUTCH ANTILLES"
"dba","SPEEDWAY"
"EVA Air","EVA"
"Eagle Air",""
"East African","CRANE"
"Eastern Airways","EASTFLIGHT"
"Eastland Air",""
"Ecuavia","ECUAVIA"
"Edelweiss Air","EDELWEISS"
"Egyptair","EGYPTAIR"
"El Al Israel Airlines","ELAL"
"El-Buraq Air Transport","BURAQAIR"
"Emirates","EMIRATES"
"Empresa Ecuatoriana De Aviacion","ECUATORIANA"
"Eritrean Airlines","ERITREAN"
"Estonian Air","ESTONIAN"
"Ethiopian Airlines","ETHIOPIAN"
"Etihad Airways","ETIHAD"
"Euro Exec Express",""
"Eurocypria Airlines","EUROCYPRIA"
"Eurofly Service","EUROFLY"
"Eurolot","EUROLOT"
"European Air Express","STAR WING"
"Eurowings","EUROWINGS"
"Evergreen International Airlines","EVERGREEN"
"Excel Airways","EXPO"
"Excel Charter","HELI EXCEL"
"Express One International","LONGHORN"
"ExpressJet","JET LINK"
"easyJet","EASY"
"Far Eastern Air Transport","Far Eastern"
"Finnair","FINNAIR"
"Finncomm Airlines","WESTBIRD"
"Firefly","FIREFLY"
"First Air",""
"First Choice Airways","JETSET"
"Flightline","FLIGHTLINE"
"Florida West International Airways","FLO WEST"
"AirAsia X","XANADU"
"FlyLal","LITHUANIA AIR"
"FlyNordic","NORDIC"
"Flybaboo","BABOO"
"Flybe","JERSEY"
"Flyglobespan","GLOBESPAN"
"Flyhy Cargo Airlines","FLY HIGH"
"Formosa Airlines",""
"Freedom Air","FREEDOM"
"Freedom Airlines","FREEDOM AIR"
"Frontier Airlines","FRONTIER FLIGHT"
"Frontier Flying Service","FRONTIER-AIR"
"GB Airways","GEEBEE AIRWAYS"
"Garuda Indonesia","INDONESIA"
"Gazpromavia","GAZPROMAVIA"
"Georgian Airways","TAMAZI"
"Georgian National Airlines","NATIONAL"
"Germania","GERMANIA"
"Germanwings","GERMAN WINGS"
"Ghana International Airlines","GHANA AIRLINES"
"Go Air","GOAIR"
"GoJet Airlines","GATEWAY"
"Gol Transportes Aéreos","GOL TRANSPORTE"
"Golden Air","GOLDEN"
"Great Lakes Airlines","LAKES AIR"
"Grupo TACA","TACA-COSTARICA"
"Gulf Air","GULF AIR"
"Gulf Air Bahrain","GULF BAHRAIN"
"Gulfstream International Airlines","GULF FLIGHT"
"Hageland Aviation Services","HAGELAND"
"Hainan Airlines","HAINAN"
"Haiti Ambassador Airlines",""
"Hamburg International","HAMBURG JET"
"TUIfly","YELLOW CAB"
"Hapagfly","HAPAG LLOYD"
"Hawaiian Airlines","HAWAIIAN"
"Hawkair",""
"Heli France","HELIFRANCE"
"Helijet","HELIJET"
"Hellas Jet","HELLAS JET"
"Hello","FLYHELLO"
"Helvetic Airways","HELVETIC"
"Hex'Air","HEX AIRLINE"
"Highland Airways","HIWAY"
"Hokkaido International Airlines","AIR DO"
"Hong Kong Airlines","BAUHINIA"
"Hong Kong Express Airways","HONGKONG SHUTTLE"
"Horizon Air","HORIZON AIR"
"Horizon Airlines",""
"Iberia Airlines","IBERIA"
"Iberworld",""
"Ibex Airlines","IBEX"
"Icar Air","TUZLA AIR"
"Icelandair","ICEAIR"
"Imair Airlines","IMPROTEX"
"IndiGo Airlines","IFLY"
"Indian Airlines","INDAIR"
"Indigo","INDIGO BLUE"
"Indonesia AirAsia","WAGON AIR"
"Indonesian Airlines","INDO LINES"
